,conf,i,j
841,3,4278,4298
842,3,7255,7308
843,3,1520,1545
844,3,9654,9676
845,3,5316,5356
846,3,6580,6654
847,3,7978,8061
848,3,1650,1681
849,3,7970,8044
850,3,4804,4836
851,3,8840,8900
852,3,7241,7354
853,3,7949,8017
854,4,2749,2772
855,4,4439,4444
856,4,1439,1466
857,4,3876,3889
858,4,1813,1881
859,4,1659,1727
860,4,4476,4480
861,6,8935,8948
862,6,6851,6865
863,6,7754,7761
864,6,11242,11250
865,6,824,880
866,6,2930,2972
867,6,8810,8884
868,6,389,436
869,6,2022,2117
870,6,2022,2118
871,9,4674,4676
872,9,8616,8623
873,9,6878,6883
874,9,64,68
875,9,1539,1547
876,9,2882,2885
877,9,3795,3821
878,9,2638,2639
879,9,1541,1547
880,9,3795,3836
881,9,5574,5598
882,9,5311,5333
883,9,1186,1213
884,9,1942,1961
885,9,6116,6152
886,9,6121,6151
887,9,3670,3720
888,9,5668,5725
889,9,1908,1918
890,9,1292,1324
891,9,3873,3952
892,9,3665,3720
893,9,4628,4706
894,9,1917,1948
895,9,5168,5266
896,9,7281,7346
897,9,6737,6791
898,9,1629,1681
899,3,9358,9359
900,3,9679,9687
901,3,7174,7193
902,3,6157,6163
903,3,6698,6717
904,3,7993,8002
905,3,5088,5110
906,3,6163,6177
907,3,5087,5110
908,3,7679,7722
909,3,6510,6610
910,3,4559,4581
911,3,7202,7242
912,3,7194,7242
913,3,4637,4655
914,3,6709,6745
915,3,7058,7103
916,3,6163,6205
917,3,4621,4659
918,3,5396,5419
919,3,8091,8102
920,3,763,783
921,3,6924,6989
922,3,2595,2623
923,3,6052,6129
924,3,2713,2740
925,3,4897,4923
926,3,6698,6767
927,3,1643,1677
928,3,9773,9795
929,3,9802,9820
930,3,1780,1808
931,3,7255,7308
932,3,6644,6717
933,3,1520,1545
934,3,925,960
935,3,1648,1677
936,3,8017,8103
937,3,3808,3817
938,3,5144,5185
939,3,8008,8103
940,3,1650,1681
941,3,2378,2414
942,3,1009,1054
943,3,8217,8310
944,3,1648,1684
945,3,1139,1191
946,3,191,212
947,3,1643,1684
948,3,7949,8017
949,3,9590,9609
950,3,7946,8008
951,3,5778,5981
952,3,534,560
953,3,528,563
954,3,1640,1681
955,3,5778,5983
956,3,6415,6521
957,3,534,564
958,3,752,786
959,3,1282,1340
960,3,534,563
961,3,6136,6205
962,3,6426,6535
963,3,5211,5286
964,3,7529,7675
965,3,8940,9015
966,4,1398,1440
967,4,1645,1706
968,4,1398,1441
969,4,1394,1440
970,4,1139,1151
971,4,1233,1271
972,4,1393,1441
973,4,1492,1575
974,6,6243,6270
975,6,6509,6539
976,6,7733,7739
977,6,7052,7096
978,6,8935,8948
979,6,6390,6452
980,6,6967,7054
981,6,11242,11250
982,6,6391,6495
983,6,824,880
984,6,613,677
985,6,760,848
986,6,6243,6391
987,6,627,698
988,6,850,927
989,6,723,816
990,6,6309,6476
991,6,722,816
992,6,4502,4668
993,6,5701,5910
994,6,8419,8558
995,6,1986,2120
996,6,11196,11216
997,6,657,727
998,9,4674,4676
999,9,8616,8623
1000,9,2351,2373
1001,9,6878,6883
1002,9,64,68
1003,9,3926,4016
1004,9,3926,4017
1005,9,6613,6690
1006,9,2196,2219
1007,9,5095,5132
1008,9,3741,3787
1009,9,5095,5131
1010,9,984,987
1011,9,1116,1163
1012,9,2908,2968
1013,9,3052,3076
1014,9,3741,3799
1015,9,2719,2766
1016,9,3878,3958
1017,9,2249,2250
1018,9,2660,2686
1019,9,2718,2766
1020,9,2720,2766
1021,9,3661,3750
1022,9,884,926
1023,9,2964,3002
1024,9,2449,2472
1025,10,963,975
1026,10,1127,1144
1027,10,1212,1213
1028,10,1120,1136
1029,3,9679,9687
1030,3,9358,9359
1031,3,4637,4655
1032,3,212,220
1033,3,4621,4659
1034,3,9805,9818
1035,3,7255,7308
1036,3,6426,6535
1037,3,6766,6815
1038,3,7731,7832
1039,3,7949,8017
1040,3,5303,5357
1041,3,5738,5965
1042,3,975,1015
1043,3,933,944
1044,3,7095,7202
1045,3,4990,5054
1046,3,6091,6104
1047,3,7589,7639
1048,3,5218,5246
1049,3,735,770
1050,3,6827,6897
1051,3,8684,8698
1052,3,2184,2202
1053,3,1308,1318
1054,3,7291,7342
1055,3,2160,2171
1056,3,806,815
1057,3,8118,8220
1058,3,7656,7702
1059,3,6465,6466
1060,3,4243,4269
1061,3,5756,5815
1062,3,4891,4917
1063,3,5756,5811
1064,3,4498,4520
1065,3,7467,7485
1066,3,7180,7219
1067,3,5756,5817
1068,3,7023,7152
1069,3,5756,5821
1070,3,789,790
1071,3,4933,5023
1072,3,8118,8231
1073,3,8157,8160
1074,3,5756,5805
1075,3,6981,7018
1076,3,8133,8176
1077,3,231,244
1078,4,4439,4444
1079,4,3030,3065
1080,4,1949,2017
1081,4,4530,4536
1082,4,2686,2739
1083,4,818,828
1084,4,1265,1297
1085,4,1335,1392
1086,4,1460,1479
1087,4,1265,1296
1088,4,1450,1471
1089,4,3704,3759
1090,6,7733,7739
1091,6,11242,11250
1092,6,824,880
1093,6,7595,7611
1094,6,4589,4729
1095,6,10073,10142
1096,6,4009,4025
1097,6,1398,1413
1098,6,6299,6329
1099,6,6737,6831
1100,6,8091,8093
1101,6,8092,8093
1102,6,6138,6178
1103,6,5643,5821
1104,6,7711,7727
1105,6,6780,6985
1106,6,5735,5963
1107,6,8696,8845
1108,6,2816,2929
1109,6,5909,6132
1110,6,10739,10747
1111,6,6831,6837
1112,6,8859,8887
1113,6,6639,6737
1114,9,4674,4676
1115,9,6878,6883
1116,9,8616,8623
1117,9,4628,4706
1118,9,3272,3334
1119,9,4768,4827
1120,9,5668,5720
1121,9,3701,3743
1122,9,1278,1333
1123,9,6497,6525
1124,9,8422,8493
1125,9,5610,5693
1126,9,868,915
1127,9,8406,8446
1128,9,7261,7304
1129,9,6613,6690
1130,9,2718,2766
1131,9,3641,3698
1132,9,4807,4808
1133,9,6420,6462
1134,9,5475,5566
1135,9,6337,6455
1136,9,4549,4663
1137,9,882,926
1138,9,4270,4357
1139,9,933,982
1140,9,1145,1178
1141,9,4551,4577
1142,9,6404,6484
1143,9,1402,1457
1144,9,4224,4307
1145,9,5748,5856
1146,9,5450,5580
1147,9,8503,8547
1148,9,5951,6081
1149,3,1213,1237
1150,3,1399,1417
1151,3,1853,1864
1152,3,1846,1859
1153,3,1843,1864
1154,3,9679,9687
1155,3,9358,9359
1156,3,5774,5803
1157,3,1846,1864
1158,3,1235,1237
1159,3,1853,1859
1160,3,1839,1859
1161,3,4996,5024
1162,3,1650,1665
1163,3,9226,9245
1164,3,9226,9246
1165,3,1650,1664
1166,3,9226,9247
1167,3,1780,1804
1168,3,1780,1808
1169,3,1648,1664
1170,3,4637,4655
1171,3,1643,1665
1172,3,1643,1664
1173,3,5396,5419
1174,3,7573,7640
1175,3,5023,5064
1176,3,6785,6858
1177,3,4621,4659
1178,3,1640,1665
1179,3,4284,4285
1180,3,1184,1208
1181,3,9805,9818
1182,3,8717,8789
1183,3,5064,5116
1184,3,6549,6619
1185,3,10012,10018
1186,3,7573,7680
1187,3,7438,7529
1188,3,7255,7308
1189,3,3557,3573
1190,3,6426,6535
1191,3,1384,1428
1192,3,9286,9342
1193,3,5738,5965
1194,3,8916,8993
1195,3,9656,9683
1196,3,9285,9342
1197,3,3552,3571
1198,3,5671,5787
1199,3,8849,8943
1200,3,1361,1415
1201,3,7615,7775
1202,3,5509,5599
1203,3,1520,1564
1204,3,5738,5984
1205,3,1002,1011
1206,3,796,833
1207,3,796,832
1208,3,1000,1004
1209,3,3117,3171
1210,3,1883,1931
1211,3,6850,6974
1212,3,5587,5709
1213,3,989,1012
1214,3,7235,7346
1215,3,5114,5213
1216,3,5289,5366
1217,3,467,476
1218,3,6130,6246
1219,3,1821,1888
1220,3,7033,7150
1221,3,3900,3931
1222,3,9275,9342
1223,3,7023,7152
1224,4,1523,1581
1225,4,1519,1551
1226,4,1519,1557
1227,4,4443,4446
1228,4,4439,4444
1229,4,974,1004
1230,4,1755,1818
1231,4,2319,2348
1232,4,3799,3824
1233,4,1254,1288
1234,4,1869,1924
1235,4,1250,1293
1236,4,606,655
1237,4,2504,2562
1238,4,4443,4459
1239,4,4428,4446
1240,4,2288,2350
1241,4,3752,3804
1242,4,835,899
1243,4,3513,3555
1244,4,2499,2562
1245,4,4443,4464
1246,4,3709,3753
1247,4,4499,4511
1248,4,4443,4466
1249,4,2405,2444
1250,4,2402,2444
1251,4,201,207
1252,4,3975,3995
1253,4,863,898
1254,4,1334,1392
1255,4,1335,1392
1256,4,3720,3790
1257,4,835,901
1258,4,1305,1350
1259,4,3754,3785
1260,6,8935,8948
1261,6,7733,7739
1262,6,11242,11250
1263,6,2907,2982
1264,6,824,880
1265,6,549,586
1266,6,10073,10142
1267,6,7571,7752
1268,6,8079,8215
1269,6,10749,10753
1270,6,2816,2929
1271,6,5763,6017
1272,6,1231,1234
1273,6,1231,1235
1274,6,999,1092
1275,9,6878,6883
1276,9,4628,4706
1277,9,2196,2219
1278,9,8868,8897
1279,9,8515,8550
1280,9,6613,6690
1281,9,7261,7304
1282,9,2718,2766
1283,9,5912,6009
1284,9,5475,5566
1285,9,7300,7380
1286,9,5270,5380
1287,9,2462,2538
1288,9,8994,9015
1289,9,7736,7799
1290,9,6737,6762
1291,9,8579,8583
1292,9,1273,1346
1293,9,7136,7243
1294,9,5468,5589
1295,9,4889,4893
1296,9,6575,6621
1297,9,5887,5894
1298,9,3870,3983
1299,9,5252,5380
1300,9,6743,6748
1301,9,3429,3511
1302,10,1659,1678
