,conf,i,j,out
2394,3,9273,9342,0.002871755127450
2395,3,8844,8952,0.003939712399162
2396,3,1002,1004,0.002835144824410
2397,3,1707,1757,0.003766792064871
2398,3,5288,5366,0.005127809706295
2399,3,3297,3331,0.006801575141370
2400,3,2583,2630,0.003430809045550
2401,3,2671,2698,0.003884704495490
2402,3,9640,9677,0.002058688386690
2403,3,5289,5377,0.005309856591470
2404,3,9810,9837,0.004606407229320
2405,3,10177,10186,0.004341581898740
2406,3,2879,2920,0.002903001061230
2407,3,6653,6777,0.004153559880380
2408,3,7342,7497,0.005438443441750
2409,3,5654,5803,0.004736408294550
2410,3,9771,9796,0.003582455904070
2411,3,9893,9914,0.003131884541460
2412,3,7023,7148,0.003832412080480
2413,3,5509,5608,0.004365549622130
2414,3,3178,3193,0.003167611462193
2415,3,1298,1336,0.004204583725990
2416,3,9492,9530,0.003167745528430
2417,3,8842,8957,0.003665428131540
2418,3,6022,6171,0.005379502290040
2419,3,2452,2504,0.003811613223830
2420,3,3117,3168,0.004612760597050
2421,3,8898,8993,0.003101272684530
2422,3,6118,6248,0.004209973804918
2423,3,7999,8146,0.004867454578920
2424,3,3220,3234,0.003112867039150
2425,3,3318,3322,0.003019603796810
2426,3,2395,2436,0.003441262628720
2427,4,3835,3862,0.003437952687800
2428,4,1517,1557,0.001682182921470
2429,4,1513,1551,0.001679427925220
2430,4,983,1004,0.003635750183475
2431,4,1254,1293,0.003057240859170
2432,4,4053,4081,0.005993243182170
2433,4,1250,1288,0.003475706918290
2434,4,2468,2532,0.003720758585570
2435,4,3218,3247,0.003533052932900
2436,4,2620,2645,0.003282938879930
2437,4,4345,4349,0.003301316884820
2438,4,1147,1159,0.003293898555930
2439,4,344,376,0.002621148792254
2440,4,3500,3533,0.002802365215700
2441,4,2375,2433,0.004448744329950
2442,4,2333,2334,0.003889743586960
2443,4,2450,2486,0.003667564441078
2444,4,2607,2623,0.003491213590530
2445,4,743,797,0.002211838922700
2446,4,3602,3632,0.004693708808210
2447,4,1046,1072,0.003575702346571
2448,4,27,30,0.002978604418042
2449,4,881,908,0.004306622365610
2450,4,2421,2473,0.004727405390530
2451,4,3158,3169,0.002714413605888
2452,4,4499,4514,0.003798498368420
2453,4,1176,1186,0.004025141160290
2454,4,4530,4537,0.003720188438840
2455,4,1116,1119,0.009415231610730
2456,4,4449,4473,0.003950305370980
2457,4,4213,4214,0.004372770208540
2458,4,1620,1656,0.003534402085880
2459,4,3682,3683,0.005139321153550
2460,4,2252,2334,0.002623705598810
2461,4,3715,3762,0.003433099115490
2462,4,3507,3544,0.004874404216070
2463,4,3497,3529,0.003632751842440
2464,4,3680,3714,0.002983683647700
2465,4,2602,2658,0.004807064448560
2466,4,3477,3492,0.003788267442350
2467,4,4502,4515,0.003803699275720
2468,4,2465,2516,0.004639467426690
2469,4,4459,4478,0.003674403692150
2470,6,1582,1629,0.002247026890600
2471,6,4332,4511,0.004588882898320
2472,6,1648,1697,0.004077139825700
2473,6,662,716,0.003215196524080
2474,6,4864,5093,0.001767206406970
2475,6,2539,2657,0.004832516064690
2476,6,1851,1937,0.003519952102770
2477,6,3386,3512,0.003946990334280
2478,6,7778,7900,0.003004101551060
2479,6,84,89,0.002314231780290
2480,6,2922,3031,0.004556615895140
2481,6,265,277,0.002636197425950
2482,6,6292,6545,0.003286298019250
2483,6,9737,9811,0.002092467649140
2484,6,7895,8006,0.003711864328730
2485,6,9079,9114,0.002891153391760
2486,6,7936,8081,0.003837778521790
2487,6,8456,8610,0.004213532527190
2488,6,27,34,0.003393984270020
2489,6,999,1091,0.002699198858480
2490,6,6503,6698,0.004413447993400
2491,6,8268,8312,0.003782195744170
2492,6,3182,3331,0.006368784139470
2493,6,4037,4237,0.004535661327920
